"","RouteID","StartDestName","EndDestName","CarJourneys","","","StartDestID","EndDestID","CarTarvellers","BusJourneys","BusTarvellers","FootJourneys","FootTarvellers","BoatJourneys","BoatTarvellers","CycleJourneys","CycleTarvellers","TrainJourneys","TrainTarvellers","MotorbikeJourneys","MotorbikeTravellers","TotalJourneys","TotalTravellers"
"55","B33334-33364","Grasmere","Langdales",4,0.00274160383824537,0.418779986291981,33334,33364,10,1,2,5,43,0,0,0,0,0,0,0,0,10,55
"56","B33334-33473","Grasmere","Low Sizergh Barn, Sizergh",4,0.00274160383824537,0.421521590130226,33334,33473,14,0,0,0,0,0,0,0,0,0,0,0,0,4,14
"57","B33334-33529","Grasmere","Rydal",4,0.00274160383824537,0.424263193968472,33334,33529,10,0,0,27,74,0,0,0,0,0,0,0,0,30,79
"58","B33334-33541","Grasmere","Troutbeck Pub, Troutbeck",4,0.00274160383824537,0.427004797806717,33334,33541,10,0,0,0,0,0,0,0,0,0,0,0,0,4,10
"59","B33352-33470","Tarn Hows","Waterhead",4,0.00274160383824537,0.429746401644962,33352,33470,8,0,0,0,0,0,0,0,0,0,0,0,0,4,8
"60","B33352-33510","Tarn Hows","Ambleside",4,0.00274160383824537,0.432488005483208,33352,33510,12,0,0,1,3,0,0,0,0,0,0,0,0,5,14
"61","B33353-33470","Elterwater","Waterhead",4,0.00274160383824537,0.435229609321453,33353,33470,11,0,0,0,0,0,0,0,0,0,0,0,0,4,11
"62","B33368-33510","Wrynose, Cockley Beck","Ambleside",4,0.00274160383824537,0.437971213159699,33368,33510,8,0,0,0,0,0,0,0,0,0,0,0,0,4,8
"63","B33404-33430","Newby Bridge","Bowness",4,0.00274160383824537,0.440712816997944,33404,33430,11,0,0,0,0,0,0,0,0,0,0,0,0,4,11
"64","B33410-33430","Lancaster Railway Station, Lancaster","Bowness",4,0.00274160383824537,0.443454420836189,33410,33430,10,0,0,0,0,0,0,0,0,0,0,0,0,4,10
"65","B33419-33430","Staveley","Bowness",4,0.00274160383824537,0.446196024674435,33419,33430,8,0,0,1,2,0,0,1,1,0,0,0,0,6,11
"66","B33419-33434","Staveley","Kendal",4,0.00274160383824537,0.44893762851268,33419,33434,9,2,4,1,1,0,0,4,4,0,0,0,0,11,18
"67","B33430-33475","Bowness","Preston",4,0.00274160383824537,0.451679232350926,33430,33475,8,0,0,0,0,0,0,0,0,0,0,0,0,4,8
"68","B33430-33640","Bowness","Brockhole",4,0.00274160383824537,0.454420836189171,33430,33640,11,0,0,1,4,2,4,0,0,0,0,0,0,6,15
"69","B33467-33510","Wray Castle","Ambleside",4,0.00274160383824537,0.457162440027416,33467,33510,8,0,0,1,3,3,13,0,0,0,0,0,0,8,24
"70","B33479-33510","Penrith","Ambleside",4,0.00274160383824537,0.459904043865662,33479,33510,10,0,0,0,0,0,0,0,0,0,0,0,0,4,10
"71","B33285-33430","Millom Railway Station, Millom","Bowness",3,0.00205620287868403,0.461960246744346,33285,33430,7,0,0,1,3,1,3,0,0,0,0,0,0,3,7
"72","B33295-33430","Cartmel","Bowness",3,0.00205620287868403,0.46401644962303,33295,33430,6,0,0,0,0,0,0,0,0,0,0,0,0,3,6
"73","B33311-33510","Liverpool","Ambleside",3,0.00205620287868403,0.466072652501714,33311,33510,5,0,0,0,0,0,0,0,0,0,0,0,0,3,5
"74","B33314-33358","Low Wood","Low Arnside, Coniston",3,0.00205620287868403,0.468128855380398,33314,33358,8,0,0,0,0,0,0,0,0,0,0,0,0,3,8
"75","B33314-33364","Low Wood","Langdales",3,0.00205620287868403,0.470185058259082,33314,33364,16,0,0,0,0,0,0,0,0,0,0,0,0,3,16
"76","B33314-33507","Low Wood","Hawkshead",3,0.00205620287868403,0.472241261137766,33314,33507,9,2,2,0,0,2,8,0,0,0,0,0,0,7,19
"77","B33315-33403","Haverthwaite","Backbarrow",3,0.00205620287868403,0.47429746401645,33315,33403,6,0,0,1,2,0,0,0,0,0,0,0,0,4,8
"78","B33317-33403","Grizedale","Backbarrow",3,0.00205620287868403,0.476353666895134,33317,33403,6,0,0,0,0,0,0,0,0,0,0,0,0,3,6
"79","B33317-33441","Grizedale","Lakeside",3,0.00205620287868403,0.478409869773818,33317,33441,15,0,0,1,5,0,0,0,0,0,0,0,0,3,15
"80","B33322-33334","Lytham St Annes","Grasmere",3,0.00205620287868403,0.480466072652502,33322,33334,7,0,0,0,0,0,0,0,0,0,0,0,0,3,7
"81","B33334-33352","Grasmere","Tarn Hows",3,0.00205620287868403,0.482522275531186,33334,33352,12,0,0,0,0,0,0,0,0,0,0,0,0,3,12
"82","B33334-33470","Grasmere","Waterhead",3,0.00205620287868403,0.48457847840987,33334,33470,6,3,11,4,10,0,0,0,0,0,0,0,0,10,27
"83","B33334-33537","Grasmere","Patterdale",3,0.00205620287868403,0.486634681288554,33334,33537,11,1,2,1,2,0,0,0,0,0,0,0,0,4,13
"84","B33340-33507","Skelwith Bridge","Hawkshead",3,0.00205620287868403,0.488690884167238,33340,33507,10,0,0,0,0,0,0,0,0,0,0,0,0,3,10
"85","B33350-33358","Ravenglass","Low Arnside, Coniston",3,0.00205620287868403,0.490747087045922,33350,33358,7,0,0,1,2,0,0,0,0,1,3,0,0,3,7
"86","B33353-33558","Elterwater","Keswick",3,0.00205620287868403,0.492803289924606,33353,33558,9,0,0,0,0,0,0,0,0,0,0,0,0,4,10
"87","B33362-33431","Chapel Stile","Windermere",3,0.00205620287868403,0.49485949280329,33362,33431,7,0,0,0,0,0,0,0,0,0,0,0,0,3,7
"88","B33362-33510","Chapel Stile","Ambleside",3,0.00205620287868403,0.496915695681974,33362,33510,7,1,2,0,0,0,0,0,0,0,0,0,0,4,9
"89","B33364-33434","Langdales","Kendal",3,0.00205620287868403,0.498971898560658,33364,33434,5,0,0,1,2,0,0,0,0,0,0,0,0,3,5
"90","B33364-33479","Langdales","Penrith",3,0.00205620287868403,0.501028101439342,33364,33479,6,0,0,0,0,0,0,0,0,0,0,0,0,3,6
"91","B33364-33507","Langdales","Hawkshead",3,0.00205620287868403,0.503084304318026,33364,33507,13,0,0,2,8,0,0,0,0,0,0,0,0,4,16
"92","B33400-33430","Thirlmere","Bowness",3,0.00205620287868403,0.50514050719671,33400,33430,12,0,0,1,2,0,0,0,0,0,0,0,0,3,12
"93","B33403-33431","Backbarrow","Windermere",3,0.00205620287868403,0.507196710075394,33403,33431,6,0,0,0,0,0,0,0,0,0,0,0,0,4,11
"94","B33421-33430","Carnforth","Bowness",3,0.00205620287868403,0.509252912954078,33421,33430,17,0,0,0,0,0,0,1,1,0,0,0,0,4,18
"95","B33431-33519","Windermere","Durham",3,0.00205620287868403,0.511309115832762,33431,33519,10,0,0,0,0,0,0,0,0,0,0,0,0,3,10
"96","B33431-33527","Windermere","Bolton",3,0.00205620287868403,0.513365318711446,33431,33527,6,0,0,0,0,0,0,0,0,0,0,0,0,3,6
"97","B33431-33640","Windermere","Brockhole",3,0.00205620287868403,0.51542152159013,33431,33640,15,0,0,0,0,0,0,0,0,0,0,0,0,3,15
"98","B33438-33510","Howtown, Pooley Bridge","Ambleside",3,0.00205620287868403,0.517477724468814,33438,33510,6,0,0,0,0,1,2,0,0,0,0,0,0,3,6
"99","B33446-33507","Near Sawrey","Hawkshead",3,0.00205620287868403,0.519533927347498,33446,33507,6,1,2,0,0,0,0,0,0,0,0,0,0,4,8
"100","B33453-33510","Ullswater","Ambleside",3,0.00205620287868403,0.521590130226183,33453,33510,10,0,0,0,0,0,0,0,0,0,0,0,0,3,10
"101","B33470-33558","Waterhead","Keswick",3,0.00205620287868403,0.523646333104867,33470,33558,18,1,3,0,0,0,0,0,0,0,0,0,0,4,21
"102","B33510-33537","Ambleside","Patterdale",3,0.00205620287868403,0.525702535983551,33510,33537,4,0,0,1,2,1,2,0,0,0,0,0,0,4,6
"103","B33510-33628","Ambleside","Manchester",3,0.00205620287868403,0.527758738862235,33510,33628,17,0,0,0,0,0,0,0,0,0,0,0,0,3,17
"104","B33529-33541","Rydal","Troutbeck Pub, Troutbeck",3,0.00205620287868403,0.529814941740919,33529,33541,8,0,0,0,0,0,0,0,0,0,0,0,0,3,8
"105","B33281-33358","Barrow in Furness","Low Arnside, Coniston",2,0.00137080191912269,0.531185743660041,33281,33358,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4
"106","B33290-33430","Ulverston Railway Station, Ulverston","Bowness",2,0.00137080191912269,0.532556545579164,33290,33430,5,0,0,0,0,0,0,0,0,0,0,0,0,2,5
"107","B33290-33606","Ulverston Railway Station, Ulverston","Abbeystead",2,0.00137080191912269,0.533927347498287,33290,33606,6,0,0,0,0,0,0,0,0,0,0,0,0,2,6
"108","B33304-33430","Grange over Sands","Bowness",2,0.00137080191912269,0.535298149417409,33304,33430,9,0,0,0,0,0,0,0,0,0,0,0,0,2,9
"109","B33305-33350","Broughton in Furness","Ravenglass",2,0.00137080191912269,0.536668951336532,33305,33350,8,0,0,0,0,0,0,0,0,0,0,0,0,2,8
"110","B33305-33431","Broughton in Furness","Windermere",2,0.00137080191912269,0.538039753255654,33305,33431,8,0,0,0,0,0,0,0,0,0,0,0,0,2,8
"111","B33311-33381","Liverpool","Leyland",2,0.00137080191912269,0.539410555174777,33311,33381,5,0,0,0,0,0,0,0,0,0,0,0,0,2,5
"112","B33311-33431","Liverpool","Windermere",2,0.00137080191912269,0.5407813570939,33311,33431,6,0,0,0,0,0,0,0,0,0,0,0,0,2,6
"113","B33314-33434","Low Wood","Kendal",2,0.00137080191912269,0.542152159013022,33314,33434,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3
"114","B33314-33640","Low Wood","Brockhole",2,0.00137080191912269,0.543522960932145,33314,33640,8,0,0,0,0,0,0,0,0,0,0,0,0,2,8
